MI,MI_err,L,p,p_0,L_A,t,runs
1.5958743966370208,0.036681904305202254,10.0,0.2,0.0,5.0,20.0,100.0
1.5986476429389254,0.03672858227524829,10.0,0.2,0.0,5.0,21.0,100.0
1.6011038548474368,0.03676981760986011,10.0,0.2,0.0,5.0,22.0,100.0
1.6032919624424609,0.03680789614896375,10.0,0.2,0.0,5.0,23.0,100.0
1.6052561423225515,0.03684141177285649,10.0,0.2,0.0,5.0,24.0,100.0
1.6069883170914208,0.03687082225467995,10.0,0.2,0.0,5.0,25.0,100.0
1.6085545583367074,0.03690144161942754,10.0,0.2,0.0,5.0,26.0,100.0
1.6099880070145147,0.036923604006787694,10.0,0.2,0.0,5.0,27.0,100.0
1.611298361552924,0.036946039636856276,10.0,0.2,0.0,5.0,28.0,100.0
1.6124322750081979,0.03696680140571883,10.0,0.2,0.0,5.0,29.0,100.0
1.6134652638617972,0.036989327266794325,10.0,0.2,0.0,5.0,30.0,100.0
1.6144817267182148,0.03700862282381298,10.0,0.2,0.0,5.0,31.0,100.0
1.61538265935942,0.03702942090771082,10.0,0.2,0.0,5.0,32.0,100.0
1.6161393307598424,0.03704073879945648,10.0,0.2,0.0,5.0,33.0,100.0
1.6168731116293396,0.037050306362200164,10.0,0.2,0.0,5.0,34.0,100.0
1.6175574569628508,0.037067553922617846,10.0,0.2,0.0,5.0,35.0,100.0
1.6181859802316243,0.03708302504866847,10.0,0.2,0.0,5.0,36.0,100.0
1.6187493943816345,0.037093554101802276,10.0,0.2,0.0,5.0,37.0,100.0
1.6192775318479433,0.0371062025246738,10.0,0.2,0.0,5.0,38.0,100.0
1.6197594574546392,0.03711734105936422,10.0,0.2,0.0,5.0,39.0,100.0
1.6202005245547004,0.03712708860205073,10.0,0.2,0.0,5.0,40.0,100.0
1.6206156080240808,0.03713741225519757,10.0,0.2,0.0,5.0,41.0,100.0
1.6209853430376557,0.0371458014732911,10.0,0.2,0.0,5.0,42.0,100.0
1.6213403458363447,0.03715430341916229,10.0,0.2,0.0,5.0,43.0,100.0
1.6216555394402465,0.03716241112038139,10.0,0.2,0.0,5.0,44.0,100.0
1.6219547309136786,0.03716844057754469,10.0,0.2,0.0,5.0,45.0,100.0
1.6222308378678942,0.03717612398532415,10.0,0.2,0.0,5.0,46.0,100.0
1.6224833823735245,0.03718248717135752,10.0,0.2,0.0,5.0,47.0,100.0
1.6227195538606853,0.03718679896569173,10.0,0.2,0.0,5.0,48.0,100.0
1.622937193531709,0.03719308532293097,10.0,0.2,0.0,5.0,49.0,100.0
1.6231415401014602,0.03719749920965555,10.0,0.2,0.0,5.0,50.0,100.0
2.1025291535496144,0.04455957833391762,10.0,0.4,0.0,5.0,0.0,100.0
0.934108029612641,0.02543794225482788,10.0,0.4,0.0,5.0,1.0,100.0
0.9493031171232595,0.027131601357679537,10.0,0.4,0.0,5.0,2.0,100.0
1.049015633229036,0.03122686334616363,10.0,0.4,0.0,5.0,3.0,100.0
1.135053758521006,0.03433309694473721,10.0,0.4,0.0,5.0,4.0,100.0
1.2001693765360377,0.03642576707064564,10.0,0.4,0.0,5.0,5.0,100.0
1.2491227384322132,0.03784739869903471,10.0,0.4,0.0,5.0,6.0,100.0
1.2866084097064654,0.03885079327460033,10.0,0.4,0.0,5.0,7.0,100.0
1.3159389915285464,0.0395905038697483,10.0,0.4,0.0,5.0,8.0,100.0
1.3393366062958862,0.04015801227355432,10.0,0.4,0.0,5.0,9.0,100.0
1.3583106243715404,0.04060755840115283,10.0,0.4,0.0,5.0,10.0,100.0
1.3739027735878953,0.04097165151747799,10.0,0.4,0.0,5.0,11.0,100.0
1.386864448070821,0.04127185134054099,10.0,0.4,0.0,5.0,12.0,100.0
1.3977396081375806,0.04152177221702619,10.0,0.4,0.0,5.0,13.0,100.0
1.4069431675402762,0.041731736732403504,10.0,0.4,0.0,5.0,14.0,100.0
1.4147843316291218,0.041908855973634855,10.0,0.4,0.0,5.0,15.0,100.0
1.4215108769878628,0.042058911969378734,10.0,0.4,0.0,5.0,16.0,100.0
1.4273110462864662,0.04218627220620054,10.0,0.4,0.0,5.0,17.0,100.0
1.4323381796282566,0.042294496949251414,10.0,0.4,0.0,5.0,18.0,100.0
1.4367170091478119,0.042386745223728005,10.0,0.4,0.0,5.0,19.0,100.0
1.440544625154256,0.04246484670765629,10.0,0.4,0.0,5.0,20.0,100.0
1.4439031300101974,0.042531028794729815,10.0,0.4,0.0,5.0,21.0,100.0
1.4468604100376625,0.042588540921941344,10.0,0.4,0.0,5.0,22.0,100.0
1.4494841758278343,0.042636983342732124,10.0,0.4,0.0,5.0,23.0,100.0
1.4518062849840447,0.04267631664171293,10.0,0.4,0.0,5.0,24.0,100.0
1.4538574076149684,0.04271119300100171,10.0,0.4,0.0,5.0,25.0,100.0
1.4556887769536566,0.04274047288178225,10.0,0.4,0.0,5.0,26.0,100.0
1.4573329824399206,0.042765596940745554,10.0,0.4,0.0,5.0,27.0,100.0
1.4587982079745527,0.04278732943829756,10.0,0.4,0.0,5.0,28.0,100.0
1.4601039881497286,0.04280289400698845,10.0,0.4,0.0,5.0,29.0,100.0
1.461287574379468,0.042815987955000114,10.0,0.4,0.0,5.0,30.0,100.0
1.4623695158966175,0.042829941984334846,10.0,0.4,0.0,5.0,31.0,100.0
1.4633184368510725,0.042839121283875334,10.0,0.4,0.0,5.0,32.0,100.0
1.464147626295537,0.04284549300065042,10.0,0.4,0.0,5.0,33.0,100.0
1.4649546010338463,0.04285244490115926,10.0,0.4,0.0,5.0,34.0,100.0
1.4656704663535292,0.042857392999812526,10.0,0.4,0.0,5.0,35.0,100.0
1.4663031000192317,0.04286131994307925,10.0,0.4,0.0,5.0,36.0,100.0
1.466901301308792,0.04286438568299795,10.0,0.4,0.0,5.0,37.0,100.0
1.4674256474485727,0.04286633409912104,10.0,0.4,0.0,5.0,38.0,100.0
1.4679223100377703,0.04286827232559175,10.0,0.4,0.0,5.0,39.0,100.0
1.468357435955447,0.04286873765844571,10.0,0.4,0.0,5.0,40.0,100.0
1.4687684111671262,0.042869605837109206,10.0,0.4,0.0,5.0,41.0,100.0
1.4691383876546271,0.04286968274479903,10.0,0.4,0.0,5.0,42.0,100.0
1.4694740064698075,0.04286932495621852,10.0,0.4,0.0,5.0,43.0,100.0
1.4697907772308414,0.042869265276777715,10.0,0.4,0.0,5.0,44.0,100.0
1.4700702243740098,0.042868143027671585,10.0,0.4,0.0,5.0,45.0,100.0
1.4703329332285753,0.04286785850567047,10.0,0.4,0.0,5.0,46.0,100.0
1.4705754795754986,0.04286655892434942,10.0,0.4,0.0,5.0,47.0,100.0
1.470797432745154,0.04286512650976443,10.0,0.4,0.0,5.0,48.0,100.0
1.4709971840786287,0.0428645608790477,10.0,0.4,0.0,5.0,49.0,100.0
